Table Number,Players,Pages,Total KC,Average KC/Player
11,59629,2386,26047967,436.83387278002317
12,56273,2251,45164228,802.5914381675049
13,269910,10797,71252933,263.98774776777447
14,22177,888,690953,31.156288046173962
15,37775,1511,8960756,237.21392455327597
16,87234,3490,65154108,746.8889194580095
17,70368,2815,26417587,375.42046100500227
18,4884,196,435627,89.19471744471744
19,23531,942,3893561,165.46517360078195
20,37478,1500,6666523,177.87830193713646
21,60633,2426,22130479,364.9906651493411
22,46763,1871,12084274,258.41528558903406
23,45372,1815,6181160,136.23291898086927
24,116212,4649,48137554,414.22188758475886
25,160952,6439,65544738,407.2315845717978
26,116881,4676,49098506,420.0726037593792
27,2274,91,242407,106.59938434476693
28,125785,5032,48789772,387.8822753110466
29,86422,3457,35826079,414.54813589132397
30,58743,2350,14167719,241.18140033706143
31,138404,5537,5439524,39.30178318545707
32,54147,2166,16403181,302.93794670064824
33,195839,7834,56597904,289.0022109998519
34,182720,7309,243063872,1330.2532399299475
35,46347,1854,18314567,395.16186592443955
36,55261,2211,12999083,235.23068710302022
37,20232,810,72669,3.591785290628707
39,43092,1724,1076800,24.98839691822148
40,19770,791,4049617,204.8364693980779
41,28612,1145,6955053,243.08167901579756
42,152807,6113,4132282,27.042491508896845
43,5034,202,518494,102.9984108065157
44,5290,212,497212,93.99092627599244
45,13206,529,6116599,463.1681811297895
46,80758,3231,58308958,722.020827657941
47,3007,121,25074,8.338543398736283
48,38370,1535,755496,19.68975762314308
49,47895,1916,14265396,297.84729094895084
50,15797,632,3482158,220.43160093688675
51,176791,7072,94081329,532.1613034600177
54,151689,6068,172090348,1134.4945777215223
