Table Number,Players,Pages,Total KC,Average KC/Player
11,70794,2832,30784444,434.8453823770376
12,66750,2670,57010232,854.0858726591761
13,312704,12509,81899114,261.90619243757675
14,28841,1154,911028,31.58794771332478
15,42779,1712,10168459,237.6974450080647
16,101259,4051,75244797,743.0924362278909
17,85354,3415,31547907,369.61251962415355
18,8132,326,825428,101.50368912936547
19,27934,1118,4673609,167.30897830600702
20,42043,1682,7460920,177.45926789239587
21,69514,2781,25041444,360.2359812411888
22,53656,2147,13930408,259.62442224541525
23,52182,2088,7089319,135.85755624544862
24,132670,5307,54069390,407.547976181503
25,184809,7393,73718995,398.8928840045669
26,133606,5345,55122412,412.5743754023023
27,3129,126,335025,107.07094918504315
28,144080,5764,55879287,387.83514019988894
29,101131,4046,41732151,412.6543888619711
30,70247,2810,16927263,240.96777086565973
31,174139,6966,7012112,40.26732667581645
32,62052,2483,18590278,299.59192290337137
33,221981,8880,64073578,288.6444245228195
34,208851,8355,278194873,1332.0255732555745
35,53951,2159,21232823,393.5575429556449
36,63952,2559,15110873,236.28460407805855
37,27206,1089,103136,3.790928471660663
39,51184,2048,1287460,25.15356361362926
40,28266,1131,6134795,217.03796080096228
41,31850,1274,7776341,244.15513343799057
42,177016,7081,4794170,27.083258010575314
43,7313,293,729240,99.71830985915493
44,11683,468,1224677,104.82555850380895
45,16553,663,7722115,466.508487887392
46,92937,3718,67010915,721.0359168038564
47,3705,149,30820,8.318488529014845
48,43986,1760,860618,19.565725458100303
49,53578,2144,16198380,302.33267385867333
50,18185,728,4032985,221.77536431124554
51,213316,8533,116224759,544.8478266984192
54,177326,7094,198980392,1122.1162830041844
