Table Number,Players,Pages,Total KC,Average KC/Player
11,59164,2367,25846281,436.8582414982084
12,55828,2234,44697528,800.6292183133911
13,267859,10715,70758790,264.1643177940633
14,21907,877,680789,31.076322636600175
15,37536,1502,8904035,237.21320865302644
16,86621,3465,64738424,747.3756248484779
17,69804,2793,26239543,375.90314308635607
18,4832,194,430787,89.15293874172185
19,23345,934,3864025,165.51831227243522
20,37254,1491,6624215,177.81218124228272
21,60230,2410,22012872,365.4801925950523
22,46446,1858,12011335,258.6085992335185
23,45020,1801,6135344,136.28040870724124
24,115447,4618,47852553,414.4980207367883
25,159761,6391,65148776,407.7889847960391
26,116080,4644,48805233,420.44480530668505
27,2243,90,238558,106.35666518056175
28,125035,5002,48533455,388.1589554924621
29,85771,3431,35584449,414.87739445733405
30,58276,2332,14044895,241.00650353490286
31,136891,5476,5378325,39.28910593099619
32,53783,2152,16309386,303.24425933845265
33,194543,7782,56264272,289.2125237094113
34,181545,7262,241534648,1330.439549423008
35,45990,1840,18183386,395.37695151119806
36,54916,2197,12914023,235.15957098113483
37,19915,797,71433,3.5868943007783076
39,42708,1709,1066889,24.981010583497238
40,19421,777,3958693,203.83569332166212
41,28474,1139,6921253,243.07273301959682
42,151701,6069,4103424,27.049419581940793
43,4935,198,508540,103.04761904761905
44,5011,201,467829,93.36040710437038
45,13090,524,6060204,462.96440030557676
46,80255,3211,57952359,722.1027848732166
47,2990,120,24886,8.323076923076924
48,38130,1526,750951,19.694492525570418
49,47610,1905,14178581,297.8067842890149
50,15677,628,3456530,220.48414875295018
51,175091,7004,93091909,531.6772935216544
54,150623,6025,170847840,1134.27457957948
