Table Number,Players,Pages,Total KC,Average KC/Player
11,75952,3039,33079656,435.5337054982094
12,72301,2893,63596127,879.6023153206733
13,329854,13195,86828702,263.2337397757796
14,32739,1310,1037486,31.68960566907969
15,45644,1826,10911047,239.04668740688808
16,108061,4323,80400002,744.02422705694
17,92290,3692,34190258,370.4654675479467
18,9981,400,1067766,106.97986173730087
19,30574,1223,5141032,168.1504546346569
20,44602,1785,7875261,176.56744092193176
21,74332,2974,26545830,357.1251950707636
22,57137,2286,14893775,260.6677809475471
23,55827,2234,7582066,135.81360273702688
24,139977,5600,56775634,405.6068782728591
25,195556,7823,77404685,395.8185123442901
26,141045,5642,57892457,410.45380552306
27,3911,157,406239,103.87087701355152
28,153047,6122,59786254,390.63982959483036
29,109165,4367,45258133,414.5846470938488
30,77835,3114,18953202,243.50487569859317
31,190208,7609,7869624,41.37378028263795
32,66224,2649,19753530,298.2835527905291
33,234756,9391,67963673,289.50771439281635
34,221393,8856,296365056,1338.637879246408
35,58000,2320,22835659,393.71825862068965
36,68728,2750,16324875,237.52873646839717
37,31149,1246,121560,3.9025329866127323
39,55601,2225,1403440,25.241272638981314
40,33216,1329,7336995,220.8873735549133
41,33632,1346,8213101,244.20495361560418
42,188954,7559,5140335,27.204160801041525
43,8669,347,860115,99.21732610451032
44,15401,617,1771419,115.01973897798844
45,18660,747,8719620,467.2893890675241
46,99177,3968,71650722,722.453008257963
47,4260,171,35503,8.334037558685447
48,47109,1885,920147,19.532297437856887
49,56537,2262,17255991,305.2158940163079
50,19670,787,4359516,221.63274021352314
51,230220,9209,131764242,572.3405525149857
54,189027,7562,212560590,1124.4985636972497
