Table Number,Players,Pages,Total KC,Average KC/Player
11,72098,2884,31356607,434.9164609281811
12,68192,2728,58711527,860.9738239089629
13,317072,12683,83210154,262.4329931372054
14,29683,1188,938815,31.628036249705218
15,43520,1741,10346103,237.7321461397059
16,103062,4123,76561622,742.8695542488987
17,87131,3486,32226842,369.86654577590065
18,8610,345,886842,103.001393728223
19,28585,1144,4784001,167.36053874409654
20,42639,1706,7552807,177.1337742442365
21,70759,2831,25437014,359.4880368575022
22,54482,2180,14162900,259.9555816599978
23,52986,2120,7194234,135.77612954365304
24,134493,5380,54766185,407.20472440944883
25,187562,7503,74673033,398.12452948891564
26,135478,5420,55833706,412.1237839353991
27,3268,131,349206,106.8561811505508
28,146335,5854,56704757,387.49962073324906
29,103190,4128,42597348,412.8050004845431
30,72337,2894,17476790,241.6023611706319
31,178336,7134,7227756,40.528866858065676
32,63070,2523,18872369,299.228936102743
33,225200,9008,65031633,288.77279307282413
34,212135,8486,282825507,1333.2335871025525
35,54942,2198,21620198,393.50948272723963
36,65154,2607,15413600,236.57181447033182
37,28224,1129,107703,3.8160076530612246
39,52232,2090,1314751,25.17137004135396
40,29389,1176,6420135,218.45367314301268
41,32231,1290,7861697,243.91725357575007
42,180068,7203,4882807,27.116461558966613
43,7697,308,767439,99.70624918799533
44,12918,517,1389899,107.59397739588171
45,17052,683,7963509,467.01319493314566
46,94576,3784,68182268,720.9256893926578
47,3842,154,31541,8.209526288391462
48,44783,1792,875458,19.548891320367105
49,54302,2173,16454365,303.015818938529
50,18521,741,4105447,221.6644349657146
51,217616,8705,119968464,551.2851260936695
54,180321,7213,202121152,1120.896357052146
