Table Number,Players,Pages,Total KC,Average KC/Player
11,81326,3254,35434552,435.71000663994295
12,76882,3076,69093221,898.6917744075337
13,343317,13733,91429902,266.3133547129912
14,36709,1469,1170330,31.881282519273203
15,47928,1918,11527481,240.51662911033216
16,114243,4570,85201429,745.7912432271562
17,97353,3895,36287892,372.74549320514006
18,11462,459,1256237,109.60015704065609
19,33004,1321,5573553,168.87507574839412
20,46951,1879,8279027,176.3333475325339
21,78602,3145,27910114,355.0814737538485
22,60688,2428,15898564,261.9721196941735
23,59118,2365,8025324,135.75093880036536
24,146277,5852,59072617,403.8407746945863
25,204688,8188,80547117,393.5116714218713
26,147394,5896,60231654,408.643866100384
27,4676,188,487717,104.30218135158255
28,160524,6421,63531431,395.7752797089532
29,116570,4663,48894354,419.44200051471216
30,84077,3364,20745927,246.74913472174316
31,204914,8197,8660516,42.26414983846882
32,69532,2782,20759336,298.55801645285624
33,245865,9835,71650856,291.42356984524025
34,232015,9281,312065487,1345.0228950714393
35,61702,2469,24337922,394.443000226897
36,73246,2930,17514255,239.11551484040083
37,34534,1382,138236,4.002895696994266
39,59905,2397,1518536,25.349069359819715
40,37958,1519,8549170,225.2270931029032
41,35363,1415,8659195,244.86596159828068
42,199271,7971,5441370,27.306381761520743
43,9906,397,973036,98.22693317181506
44,18073,723,2170412,120.09140707132187
45,20367,815,9590693,470.89374969313104
46,104578,4184,75735726,724.2032358622272
47,4776,192,40340,8.4463986599665
48,49860,1995,974288,19.54047332531087
49,58775,2351,18148944,308.7867971076138
50,20994,840,4669826,222.43621987234448
51,244535,9782,149383838,610.8893941562558
54,199359,7975,227213564,1139.7206246018488
