Table Number,Players,Pages,Total KC,Average KC/Player
11,65472,2619,28476110,434.9356977028348
12,61334,2454,50564160,824.4066912316171
13,292818,11713,77172491,263.551048774324
14,25538,1022,801069,31.367726525178167
15,40493,1620,9618000,237.52253475909416
16,94045,3762,69972097,744.027827104046
17,77505,3101,28793956,371.5109476807948
18,5608,225,509964,90.93509272467902
19,25632,1026,4256583,166.06519194756555
20,39883,1596,7098453,177.98192212220746
21,65081,2604,23621249,362.9515373150382
22,50142,2006,12954426,258.3547923896135
23,49024,1961,6659127,135.83402007180158
24,124744,4990,51170932,410.20756108510227
25,173586,6944,69816461,402.2009897111518
26,125533,5022,52184171,415.70081970477884
27,2647,106,280614,106.01208915753683
28,134953,5399,52246487,387.14579890776787
29,93445,3738,38555173,412.59749585317564
30,64074,2563,15424497,240.72942223054594
31,156258,6251,6166442,39.463208283735874
32,58035,2322,17484205,301.2700094770397
33,209058,8363,60290219,288.3899157171694
34,196028,7842,260559058,1329.1930642561267
35,49978,2000,19709061,394.3547360838769
36,59503,2381,14015470,235.54224156765204
37,23580,944,86639,3.6742578456318915
39,47177,1888,1184318,25.10371579371304
40,24087,964,5056397,209.9222402125628
41,30261,1211,7376329,243.75694788671888
42,164990,6600,4460187,27.03307473180193
43,6014,241,609645,101.37096774193549
44,7707,309,794485,103.08615544310368
45,14695,588,6843096,465.67512759441985
46,86787,3472,62607267,721.3899201493311
47,3299,132,27639,8.377993331312519
48,41123,1645,806991,19.623835809644238
49,50926,2038,15298789,300.41214703687706
50,17051,683,3775727,221.43727640607588
51,195428,7818,105749472,541.1173015125776
54,165143,6606,186103592,1126.9238902042473
