Table Number,Players,Pages,Total KC,Average KC/Player
11,82242,3290,35862220,436.05724568955037
12,77666,3107,70031187,901.6968428913553
13,346136,13846,92386062,266.90682852982644
14,37467,1499,1193285,31.848960418501616
15,48312,1933,11634453,240.8191132637854
16,115527,4622,86211002,746.2411557471413
17,98121,3925,36609522,373.1058794753417
18,11667,467,1283051,109.97265792405932
19,33439,1338,5649045,168.93582343969615
20,47389,1896,8351623,176.2354765873937
21,79437,3178,28168997,354.6080164155243
22,61238,2450,16071370,262.4411313236879
23,59696,2388,8090947,135.53583154650227
24,147435,5898,59479070,403.4257130260793
25,206360,8255,81118407,393.0917183562706
26,148508,5941,60651991,408.4089139978991
27,4799,192,497969,103.76515940821004
28,161794,6472,64182453,396.692417518573
29,118201,4729,49632010,419.8950093484827
30,85068,3403,21021070,247.109018667419
31,207843,8314,8809751,42.38656582131705
32,70188,2808,20948094,298.45691571208755
33,247865,9915,72316059,291.7558307949892
34,234261,9371,315092284,1345.0479764023887
35,62327,2494,24617866,394.97915831020265
36,74015,2961,17722173,239.44028913058165
37,35035,1402,140701,4.0160125588697015
39,60762,2431,1539136,25.330568447384877
40,38602,1545,8723534,225.9865810061655
41,35646,1426,8734641,245.03846153846155
42,201170,8047,5496929,27.32479494954516
43,10084,404,988840,98.06029353431178
44,18416,737,2227984,120.98088618592529
45,20596,824,9728586,472.353175373859
46,105580,4224,76456086,724.1531161204773
47,4847,194,41076,8.474520321848566
48,50337,2014,983723,19.54274191946282
49,59069,2363,18252289,308.9994582606782
50,21204,849,4726672,222.9141671382758
51,247161,9887,152711119,617.8609044307152
54,199824,7993,226325346,1132.623438625991
