Table Number,Players,Pages,Total KC,Average KC/Player
11,60205,2409,26274934,436.4244497965285
12,56777,2272,45671630,804.4037198161227
13,272263,10891,71851051,263.9031047185993
14,22514,901,701812,31.172248378786534
15,38042,1522,9026055,237.2655223174386
16,87937,3518,65617770,746.190681965498
17,71059,2843,26631837,374.78485483893667
18,4938,198,441049,89.31733495342243
19,23711,949,3923798,165.48428999198686
20,37730,1510,6710410,177.85343228200372
21,61097,2444,22293428,364.88580454032115
22,47109,1885,12175631,258.4565794221911
23,45748,1830,6227196,136.1195243507913
24,117103,4685,48440963,413.6611615415489
25,162241,6490,65978950,406.6724810621236
26,117759,4711,49408009,419.56885673281874
27,2307,93,245397,106.37061118335501
28,126731,5070,49168656,387.97654875287026
29,87182,3488,36107038,414.15702782684497
30,59256,2371,14299003,241.30894761711895
31,139957,5599,5502914,39.318605000107176
32,54563,2183,16514677,302.6717189304107
33,197234,7890,56986547,288.92861778395206
34,184051,7363,244736944,1329.723522284584
35,46714,1869,18449164,394.93864794280086
36,55725,2229,13105973,235.19018393898608
37,20559,823,73982,3.5985213288584075
39,43520,1741,1087337,24.984765625
40,20206,809,4146980,205.23507868949818
41,28775,1151,6997961,243.195864465682
42,154037,6162,4165637,27.04309354246058
43,5125,205,527870,102.9990243902439
44,5554,223,528028,95.07166006481815
45,13329,534,6180601,463.69577612724134
46,81318,3253,58699948,721.8567598809611
47,3036,122,25267,8.322463768115941
48,38635,1546,760296,19.678943962728095
49,48212,1929,14362920,297.91172322243426
50,15923,637,3509316,220.392890786912
51,178626,7146,95226876,533.1075879211313
54,153352,6135,174079582,1135.1634279305129
