Table Number,Players,Pages,Total KC,Average KC/Player
11,76322,3053,33243706,435.57173554152143
12,72635,2906,64008190,881.2306739175328
13,330785,13232,86958339,262.8847710748674
14,32989,1320,1045457,31.691078844463306
15,45780,1832,10948271,239.1496505024028
16,108532,4342,80742085,743.9472690082188
17,92661,3707,34341350,370.61277128457493
18,10116,405,1083395,107.09717279557137
19,30776,1232,5179870,168.30874707564337
20,44797,1792,7908245,176.53514744290914
21,74641,2986,26641963,356.9347007676746
22,57364,2295,14956367,260.7274074332334
23,56077,2244,7621870,135.91793426895163
24,140452,5619,56951421,405.4867214422009
25,196233,7850,77644093,395.67296530145285
26,141472,5659,58070023,410.4700788848677
27,3966,159,411515,103.76071608673726
28,153588,6144,60065389,391.0812628590775
29,109667,4387,45505731,414.944614150109
30,78333,3134,19093824,243.75198192332732
31,191260,7651,7930170,41.46277318833002
32,66523,2661,19840317,298.2474783157705
33,235560,9423,68225269,289.6301112243165
34,222200,8888,297574434,1339.2188748874887
35,58216,2329,22937403,394.0051360450735
36,69020,2761,16403446,237.66221385105766
37,31438,1258,122860,3.908009415357211
39,55884,2236,1410798,25.245114880824566
40,33599,1344,7434698,221.27735944522158
41,33780,1352,8250068,244.22936648904678
42,189689,7588,5162970,27.218078011903696
43,8789,352,870346,99.02673796791444
44,15643,626,1806240,115.46634277312536
45,18802,753,8782227,467.09004361238163
46,99588,3984,71954440,722.5211872916416
47,4298,172,35838,8.338296882270823
48,47326,1894,924346,19.531462620969446
49,56691,2268,17327398,305.64636362032775
50,19762,791,4382391,221.75847586276691
51,231285,9252,132858105,574.4345936831182
54,189570,7583,212673979,1121.8757134567707
