Table Number,Players,Pages,Total KC,Average KC/Player
11,66179,2648,28764167,434.6419105758624
12,61983,2480,51305158,827.7295064775826
13,295374,11815,77931750,263.8409270958175
14,25916,1037,813620,31.394505324895817
15,40793,1632,9686947,237.46591326943349
16,94939,3798,70607829,743.7178504092101
17,78605,3145,29146612,370.79844793588194
18,6216,249,568222,91.41280566280567
19,25863,1035,4299704,166.24923636082434
20,40161,1607,7143157,177.86302631906577
21,65658,2627,23811332,362.6569801090499
22,50530,2022,13064371,258.5468236691075
23,49426,1978,6711390,135.78663051835068
24,125770,5031,51536912,409.77110598711937
25,174994,7000,70311972,401.7964730219322
26,126557,5063,52553493,415.25552122758916
27,2693,108,286120,106.245822502785
28,136107,5445,52704911,387.23145025604856
29,94324,3773,38900308,412.41156015436155
30,64762,2591,15579775,240.5697013680862
31,158603,6345,6265409,39.50372313260153
32,58542,2342,17617317,300.9346622937378
33,210598,8424,60756011,288.4928204446386
34,197680,7908,262725667,1329.0452600161877
35,50477,2020,19902096,394.2804841809141
36,60064,2403,14152431,235.6225193127331
37,24001,961,88498,3.687263030707054
39,47670,1907,1197174,25.113782252989303
40,24557,983,5177532,210.83731726188051
41,30462,1219,7424428,243.72752938086796
42,166492,6660,4501064,27.03471638276914
43,6140,246,620709,101.09267100977199
44,7987,320,833521,104.35970952798297
45,14910,597,6935924,465.18604963112006
46,87599,3504,63157797,720.9876482608249
47,3335,134,27982,8.3904047976012
48,41484,1660,813881,19.619154372770225
49,51298,2052,15421254,300.62095988147684
50,17190,688,3807405,221.4895287958115
51,197815,7913,107407728,542.970593736572
54,166911,6677,188122615,1127.083385756481
