Table Number,Players,Pages,Total KC,Average KC/Player
11,74931,2998,32634048,435.5213196140449
12,71255,2851,62384878,875.5157953827802
13,326554,13063,85906167,263.0687941351201
14,31882,1276,1009844,31.674424440122955
15,45093,1804,10766330,238.75834386711907
16,106831,4274,79411041,743.3333114919826
17,91009,3641,33692525,370.2109132063862
18,9672,387,1021972,105.66294458229942
19,29990,1200,5041376,168.10190063354452
20,44020,1761,7782646,176.7979554747842
21,73426,2938,26265910,357.71947266635794
22,56428,2258,14741266,261.2402707875523
23,55026,2202,7471599,135.78306618689348
24,138634,5546,56266949,405.8668796976211
25,193558,7743,76706243,396.29590613666187
26,139622,5585,57372304,410.91163283723193
27,3720,149,388967,104.56102150537635
28,151348,6054,58993090,389.78440415466343
29,107608,4305,44547679,413.9811073526132
30,76459,3059,18587898,243.10935272498986
31,187039,7482,7701268,41.174664107485604
32,65399,2616,19515416,298.40541904310464
33,232319,9293,67187717,289.2045721615537
34,219016,8761,292938250,1337.5198615626255
35,57227,2290,22533608,393.75833085781187
36,67758,2711,16084109,237.375793264264
37,30386,1216,117886,3.8796156124531036
39,54618,2185,1379317,25.253890658757186
40,32136,1286,7077686,220.24166044311676
41,33241,1330,8113224,244.07280166059985
42,186642,7466,5073640,27.18380643156417
43,8408,337,835688,99.39200761179829
44,14776,592,1677205,113.50873037357877
45,18226,730,8515651,467.22544716339297
46,98047,3922,70762142,721.7165441063979
47,4169,167,34487,8.27224754137683
48,46498,1860,908429,19.536947825712932
49,55929,2238,17036635,304.61182928355595
50,19362,775,4293030,221.7245119305857
51,227117,9085,128190069,564.4230462713051
54,186638,7466,209789683,1124.0459231239083
