Table Number,Players,Pages,Total KC,Average KC/Player
11,56295,2252,24692434,438.62570388133935
12,53440,2138,42266509,790.9152133233533
13,255299,10212,67548966,264.58766387647427
14,20262,811,624930,30.84246372519988
15,35984,1440,8540644,237.3455980435749
16,83094,3324,62343261,750.2739186944906
17,66626,2666,25180027,377.93094287515385
18,4613,185,409125,88.68957294602211
19,22315,893,3692686,165.47999103741878
20,35928,1438,6386213,177.75030616789132
21,57817,2313,21186398,366.4389020530294
22,44483,1780,11536611,259.3487624485759
23,43127,1726,5874430,136.21234957219374
24,110616,4425,46194431,417.6107525131988
25,152883,6116,62826610,410.9456904953461
26,111254,4451,47129736,423.6228450213026
27,2101,85,223238,106.25321275583056
28,120362,4815,46772709,388.6002974360679
29,82080,3284,34142064,415.9608187134503
30,55611,2225,13410773,241.1532430634227
31,129916,5197,5085841,39.14714892699899
32,51808,2073,15736617,303.7487839715874
33,186855,7475,54206740,290.100559257178
34,174505,6981,232492810,1332.2988453052922
35,44090,1764,17461490,396.04195962803357
36,52398,2096,12356328,235.81678690026337
37,18397,736,65195,3.543784312659673
39,40594,1624,1013175,24.95873774449426
40,17344,694,3449375,198.88001614391143
41,27520,1101,6713067,243.93412063953488
42,145463,5819,3934306,27.046781655816254
43,4350,174,452916,104.11862068965517
44,3814,153,347224,91.0393287886733
45,12463,499,5773888,463.28235577308834
46,77148,3086,55832376,723.7047752372064
47,2850,114,23688,8.311578947368421
48,36700,1468,724282,19.735204359673023
49,45903,1837,13649285,297.350608892665
50,15023,601,3300816,219.7174998335885
51,165897,6636,87844277,529.510943537255
54,142619,5705,161889047,1135.115566649605
