Table Number,Players,Pages,Total KC,Average KC/Player
11,81810,3273,35670589,436.0174673022858
12,77366,3095,69609422,899.7417728718042
13,344677,13788,91864200,266.5225704064965
14,37053,1483,1181671,31.89137181874612
15,48080,1924,11568548,240.6103993344426
16,115028,4602,85848348,746.3256598393434
17,97717,3909,36449298,373.0087702242189
18,11576,464,1270645,109.76546302695232
19,33234,1330,5613025,168.89405428175965
20,47193,1888,8318111,176.2573051088085
21,79031,3162,28044168,354.85022333008567
22,60977,2440,15989121,262.21560588418583
23,59383,2376,8052573,135.60401124901065
24,146859,5875,59280217,403.6539606016655
25,205510,8221,80838342,393.35478565519924
26,147926,5918,60444071,408.6101902302503
27,4749,190,493374,103.89008212255212
28,161052,6443,63829071,396.32585127784813
29,117426,4698,49274612,419.62267300257184
30,84608,3385,20896429,246.9793518343419
31,206461,8259,8740467,42.33471212480808
32,69888,2796,20860837,298.48954040750914
33,246833,9874,71995635,291.6775107056188
34,233225,9329,313755864,1345.2925887018973
35,62010,2481,24491403,394.9589259796807
36,73659,2947,17625496,239.28502966372065
37,34832,1394,139739,4.0117994947175015
39,60313,2413,1529593,25.36091721519407
40,38321,1533,8653946,225.82777067404297
41,35526,1422,8699626,244.88053819737658
42,200348,8014,5472966,27.317297901651127
43,10003,401,981857,98.15625312406279
44,18267,731,2203066,120.60360212404883
45,20505,821,9670174,471.6007802974884
46,105153,4207,76155184,724.2321569522505
47,4819,193,40794,8.465241751400706
48,50138,2006,979716,19.540388527663648
49,58883,2356,18187913,308.8822410542941
50,21097,844,4695345,222.5598426316538
51,245935,9838,151132120,614.5205847073414
54,199210,7969,225205734,1130.4941217810351
