Table Number,Players,Pages,Total KC,Average KC/Player
11,83221,3329,36296392,436.1446269571382
12,78460,3139,71004179,904.9729671170023
13,349117,13965,93734190,268.4893316567225
14,38307,1533,1219118,31.824940611376512
15,48880,1956,11785803,241.11708265139117
16,116729,4670,87068615,745.9038884938618
17,99087,3964,37004910,373.45877864906595
18,11847,474,1311327,110.68852874145354
19,33888,1356,5728506,169.04231586402267
20,47827,1914,8425468,176.16551320383883
21,80339,3214,28455626,354.19442611931936
22,61802,2473,16246392,262.8780945600466
23,60361,2415,8179327,135.5068173158165
24,148568,5943,59894166,403.14311291799044
25,208067,8323,81700959,392.66658816631184
26,149670,5987,61083304,408.119890425603
27,4923,197,507927,103.17428397318709
28,163351,6535,65020948,398.04438295449677
29,119744,4790,50386088,420.78173436664883
30,86074,3443,21297245,247.42947928526615
31,210695,8428,8959280,42.52250883979212
32,70799,2832,21123154,298.35384680574583
33,250171,10007,73073467,292.0940756522539
34,236456,9459,318109997,1345.3242759752343
35,63104,2525,24948116,395.3492013184584
36,74920,2997,17965129,239.79083021890017
37,35478,1420,142945,4.029116635661537
39,61718,2469,1565338,25.362746686542014
40,39282,1572,8894089,226.41639936866758
41,35946,1438,8810283,245.09772992822568
42,203165,8127,5554458,27.339640193931043
43,10271,411,1005747,97.92103982085483
44,18911,757,2292508,121.22616466606736
45,20880,836,9885287,473.433285440613
46,106614,4265,77202979,724.135470013319
47,4905,197,41689,8.499286442405708
48,50828,2034,993543,19.54715904619501
49,59508,2381,18429459,309.69716676749346
50,21486,860,4794878,223.16289676998977
51,249903,9997,156947683,628.0344093508281
54,201446,8058,229432445,1138.9277771710533
