Table Number,Players,Pages,Total KC,Average KC/Player
11,71524,2861,31103476,434.86768077847995
12,67517,2701,57934325,858.0701897299939
13,315125,12605,82650592,262.27875287584294
14,29279,1172,924935,31.590389016018307
15,43185,1728,10258556,237.54905638531898
16,102244,4090,75968526,743.0120691678729
17,86366,3455,31926352,369.6634323692194
18,8393,336,859251,102.37709996425593
19,28290,1132,4731292,167.2425592082008
20,42364,1695,7509148,177.25304503824
21,70177,2808,25259918,359.9458227054448
22,54120,2165,14056486,259.72812269031783
23,52599,2104,7147123,135.87944637730754
24,133637,5346,54456013,407.492034391673
25,186317,7453,74245454,398.48996065844767
26,134570,5383,55511998,412.5139184067771
27,3191,128,342091,107.2049514258853
28,145309,5813,56383025,388.021560949425
29,102232,4090,42181423,412.6048888801941
30,71472,2859,17240777,241.22421367808371
31,176446,7058,7129528,40.406288609546266
32,62613,2505,18745198,299.3818855509239
33,223705,8949,64591546,288.73537024205984
34,210570,8423,280664722,1332.8808567222302
35,54491,2180,21448714,393.6193866877099
36,64583,2584,15275368,236.52304786089218
37,27791,1112,105692,3.803101723579576
39,51735,2070,1301810,25.16304242775684
40,28883,1156,6293236,217.88720008309386
41,32067,1283,7822611,243.94583216390683
42,178596,7144,4841685,27.109705704495063
43,7513,301,750455,99.8875282843072
44,12422,497,1318594,106.14989534696507
45,16836,674,7856394,466.6425516749822
46,93826,3754,67633707,720.8418455438791
47,3778,152,31407,8.313128639491795
48,44408,1777,868566,19.558773194019096
49,53982,2160,16325291,302.4210107072728
50,18361,735,4071217,221.73176842219922
51,215639,8626,118204224,548.1579120659992
54,178980,7160,200806852,1121.9513465191642
