Table Number,Players,Pages,Total KC,Average KC/Player
11,82419,3297,35942658,436.096749535908
12,77838,3114,70194474,901.8021274955677
13,346681,13868,92604066,267.1160692394449
14,37623,1505,1198174,31.846849001940303
15,48416,1937,11662348,240.87797422339722
16,115732,4630,86362974,746.232450834687
17,98294,3932,36677859,373.14443404480437
18,11704,469,1287748,110.02631578947368
19,33526,1342,5662208,168.89005547932948
20,47463,1899,8364170,176.22505952004718
21,79581,3184,28216504,354.56332541687084
22,61335,2454,16104757,262.57042471671963
23,59809,2393,8106106,135.53321406477286
24,147656,5907,59560110,403.3707400986076
25,206685,8268,81230758,393.0171904105281
26,148735,5950,60736461,408.3535213634988
27,4817,193,499508,103.69690678845754
28,162066,6483,64336554,396.9774906519566
29,118485,4740,49762308,419.9882516774275
30,85226,3410,21065929,247.17725811372117
31,208319,8333,8835844,42.41496934989127
32,70303,2813,20976305,298.3699842112001
33,248312,9933,72447364,291.7594155739553
34,234642,9386,315645526,1345.2217676289838
35,62458,2499,24674430,395.0563578724903
36,74188,2968,17768595,239.50766970399525
37,35127,1406,141079,4.016255302189199
39,60931,2438,1543695,25.335133183437
40,38734,1550,8750603,225.9152940569009
41,35702,1429,8747764,245.02167945773346
42,201548,8062,5507694,27.32695933474904
43,10116,405,991728,98.0355871886121
44,18486,740,2238197,121.07524613220816
45,20650,826,9755497,472.4211622276029
46,105758,4231,76579897,724.1050038767753
47,4852,195,41175,8.486191261335533
48,50428,2018,985456,19.5418418339018
49,59154,2367,18287540,309.1513676167292
50,21246,850,4737365,222.97679563211898
51,247663,9907,153482084,619.7214925120022
54,200202,8009,226958189,1133.6459625777964
