Table Number,Players,Pages,Total KC,Average KC/Player
11,79906,3197,34827048,435.85022401321555
12,75848,3034,67823229,894.1993065077523
13,340215,13609,90068726,264.7406081448496
14,35729,1430,1137073,31.82493212796328
15,47314,1893,11371954,240.35072071691255
16,112616,4505,83893619,744.9529285359097
17,96168,3847,35794103,372.20388278845354
18,11164,447,1216726,108.98656395557148
19,32473,1299,5475982,168.63184799679735
20,46388,1856,8189249,176.53809174786582
21,77501,3101,27562292,355.6378885433736
22,59865,2395,15655947,261.5208719619143
23,58261,2331,7911459,135.7933952386674
24,144765,5791,58535106,404.34570510827893
25,202506,8101,79819340,394.1579014942767
26,145854,5835,59677026,409.15590933399153
27,4499,180,470861,104.65903534118694
28,158748,6350,62643518,394.60980925743945
29,114779,4592,48003069,418.2217043187343
30,82564,3303,20329332,246.2251344411608
31,201530,8062,8476731,42.06188160571627
32,68769,2751,20534849,298.60618883508556
33,243157,9727,70740713,290.92608068038345
34,229559,9183,308391131,1343.4068409428512
35,60769,2431,23974920,394.5254981980944
36,72122,2885,17218413,238.7400931754527
37,33747,1350,134334,3.9806204995999646
39,58963,2359,1492214,25.307633600732665
40,36809,1473,8252553,224.19932625173192
41,34972,1399,8552978,244.56645316253002
42,196807,7873,5370760,27.28947649219794
43,9659,387,948670,98.21617144631949
44,17459,699,2078429,119.04627985566184
45,19989,800,9395784,470.0477262494372
46,103327,4134,74747060,723.4029827634597
47,4662,187,39263,8.421921921921921
48,49227,1970,961437,19.530684380522885
49,58146,2326,17924335,308.2642830117291
50,20648,826,4587588,222.18074389771405
51,241290,9652,145121692,601.440971445149
54,196915,7877,223226905,1133.6206231114948
