Table Number,Players,Pages,Total KC,Average KC/Player
11,79302,3173,34562738,435.8369019696855
12,75343,3014,67232173,892.3479686234953
13,338858,13555,89503409,264.1324950274156
14,35269,1411,1122046,31.81394425699623
15,47060,1883,11305760,240.24139396515088
16,111930,4478,83394276,745.0574108818012
17,95649,3826,35570201,371.882622923397
18,11010,441,1197060,108.72479564032697
19,32219,1289,5430281,168.5428163506006
20,46165,1847,8152567,176.59627423372686
21,77063,3083,27422788,355.84895475130736
22,59495,2380,15544154,261.2682410286579
23,57930,2318,7865503,135.77598826169515
24,144076,5764,58291334,404.58739831755463
25,201511,8061,79484484,394.44240761050264
26,145142,5806,59426855,409.43941105951416
27,4431,178,461452,104.14172872940645
28,157967,6319,62250540,394.0730658935094
29,113991,4560,47617596,417.73118930441876
30,81904,3277,20139108,245.8867454580973
31,199890,7996,8392743,41.986807744259345
32,68433,2738,20435673,298.6230765858577
33,241942,9678,70360413,290.81520777707055
34,228426,9138,306715871,1342.7362515650582
35,60351,2415,23815623,394.61853159019734
36,71591,2864,17090239,238.72049559302147
37,33365,1335,132563,3.9731155402367753
39,58457,2339,1479291,25.305626357835674
40,36348,1454,8133171,223.7584186200066
41,34781,1392,8502340,244.45358097812024
42,195733,7830,5339246,27.278210623655696
43,9516,381,936501,98.41330390920555
44,17201,689,2038336,118.5010173827103
45,19823,793,9306783,469.49417343489887
46,102728,4110,74296687,723.2369655790047
47,4604,185,38672,8.399652476107732
48,48922,1957,955512,19.531335595437636
49,57866,2315,17824165,308.02483323540594
50,20519,821,4554284,221.95448121253472
51,239759,9591,143412467,598.1525907265212
54,195898,7836,221697674,1131.699527305026
