Table Number,Players,Pages,Total KC,Average KC/Player
11,78072,3123,34037340,435.97371656932063
12,74292,2972,66009070,888.5084531308889
13,335725,13429,88425886,263.3878501749944
14,34367,1375,1091152,31.749992725579773
15,46471,1859,11153180,240.00301263153364
16,110622,4425,82364894,744.5616061904503
17,94533,3782,35105463,371.3567008346292
18,10698,428,1156065,108.06365675827257
19,31670,1267,5333209,168.39940006315123
20,45643,1826,8062186,176.6357601384659
21,76120,3045,27121795,356.30313977929586
22,58644,2346,15296055,260.8289850624105
23,57220,2289,7771341,135.8151170919259
24,142732,5710,57788931,404.8771894179301
25,199458,7979,78786523,395.00307332872086
26,143752,5751,58913624,409.82820412933387
27,4268,171,441643,103.47774133083412
28,156357,6255,61419283,392.81441189073723
29,112295,4492,46783627,416.61362482746335
30,80478,3220,19730766,245.16968612540074
31,196534,7862,8212889,41.788642168785046
32,67773,2711,20227361,298.45751257875554
33,239466,9579,69554649,290.4573050036331
34,226099,9044,303270653,1341.3179757539838
35,59552,2383,23485445,394.3687029822676
36,70563,2823,16822838,238.40876946841828
37,32635,1306,128913,3.950145549256933
39,57413,2297,1452149,25.29303467855712
40,35367,1415,7872677,222.59951367093618
41,34389,1376,8400936,244.2913722411236
42,193478,7740,5273100,27.254261466419955
43,9254,371,912697,98.62729630430084
44,16584,664,1951173,117.65394356005788
45,19441,778,9109010,468.54637107144697
46,101491,4060,73416000,723.3744864076617
47,4483,180,37523,8.370064688824447
48,48356,1935,944011,19.5221068740177
49,57272,2291,17599340,307.2939656376589
50,20201,809,4484807,222.0091579624771
51,236615,9465,139249878,588.5082433489001
54,193446,7738,217650715,1125.123884701674
