Table Number,Players,Pages,Total KC,Average KC/Player
11,67355,2695,29236412,434.0644644050182
12,63137,2526,52603943,833.171405039834
13,299616,11985,79134699,264.1204041172701
14,26626,1066,837311,31.447119357019453
15,41289,1652,9807025,237.52149482913126
16,96539,3862,71691309,742.6149949761236
17,80283,3212,29719947,370.18979111393446
18,6771,271,639817,94.49372323142815
19,26377,1056,4392844,166.54069833567124
20,40618,1625,7220993,177.77815254320745
21,66569,2663,24084106,361.7916147155583
22,51227,2050,13258507,258.8187284049427
23,50101,2005,6796149,135.64896908245345
24,127545,5102,52151970,408.8907444431377
25,177492,7100,71155742,400.8954882473576
26,128400,5136,53179591,414.171269470405
27,2776,112,294889,106.22802593659942
28,138010,5521,53478041,387.4939569596406
29,95852,3835,39510541,412.20361599131996
30,65909,2637,15846927,240.4364654296075
31,162333,6494,6435706,39.645087566914924
32,59331,2374,17829086,300.50203097874635
33,213437,8538,61523401,288.2508702802232
34,200339,8014,266332706,1329.4101797453316
35,51277,2052,20208524,394.1050373461786
36,60945,2438,14363039,235.67214701780293
37,24716,989,91566,3.7047256837676
39,48539,1942,1218010,25.09343002534045
40,25426,1018,5391533,212.04802171006057
41,30785,1232,7497363,243.53948351469873
42,168940,6758,4569276,27.04673848703682
43,6327,254,638143,100.86028133396555
44,8428,338,893324,105.99477930707167
45,15239,610,7098727,465.8263009383818
46,88822,3553,64062059,721.2408975253878
47,3405,137,28507,8.372099853157122
48,42053,1683,824367,19.60304853399282
49,51997,2080,15652914,301.034944323711
50,17471,699,3870694,221.54965371186537
51,201608,8065,110372196,547.4594063727629
54,170043,6802,192067438,1129.5227560087742
