Table Number,Players,Pages,Total KC,Average KC/Player
11,75840,3034,33035263,435.5915479957806
12,72207,2889,63483064,879.1815751935408
13,329506,13181,86718164,263.1762820707362
14,32667,1307,1035158,31.68818685523617
15,45598,1824,10898806,239.0193868152112
16,107950,4318,80306583,743.9238814265864
17,92162,3687,34143822,370.47613984071523
18,9960,399,1063991,106.82640562248996
19,30519,1221,5132676,168.1796913398211
20,44557,1783,7868030,176.58347734362727
21,74231,2970,26515632,357.2042947016745
22,57041,2282,14873966,260.75920828877474
23,55748,2230,7570534,135.79920355887208
24,139848,5594,56725972,405.6259081288256
25,195346,7814,77335445,395.88957542002396
26,140913,5637,57840834,410.4719507781397
27,3888,156,404092,103.93312757201646
28,152886,6116,59708584,390.5431759611737
29,109019,4361,45187150,414.4887588402022
30,77697,3108,18915375,243.45051932507047
31,189946,7598,7855266,41.355258863045286
32,66129,2646,19730549,298.3645450558756
33,234539,9382,67899470,289.5018312519453
34,221146,8846,296043640,1338.6796053286064
35,57947,2318,22808220,393.6048458073757
36,68626,2746,16301466,237.54066971701687
37,31073,1243,121193,3.900267112927622
39,55519,2221,1401537,25.24427673409103
40,33105,1325,7313328,220.913094698686
41,33591,1344,8205284,244.27031049983626
42,188713,7549,5133673,27.203600175928525
43,8641,346,857745,99.26455271380627
44,15340,614,1762828,114.91707953063886
45,18621,745,8701267,467.2824767735353
46,99060,3963,71563727,722.4280940843933
47,4249,170,35414,8.334666980465991
48,47052,1883,919105,19.53381365297968
49,56485,2260,17236020,305.14331238381874
50,19651,787,4354799,221.6069920105847
51,229934,9198,131468088,571.764454147712
54,188965,7559,212466484,1124.3695075807689
