Table Number,Players,Pages,Total KC,Average KC/Player
11,76831,3074,33461082,435.5153779073551
12,73118,2925,64576736,883.1852074728521
13,332310,13293,87404639,263.0213926755138
14,33374,1335,1059035,31.73233654940972
15,46029,1842,11014876,239.3029611766495
16,109109,4365,81203885,744.2455251170848
17,93203,3729,34562135,370.82642189629087
18,10312,413,1104610,107.1188906128782
19,31014,1241,5223494,168.4237441155607
20,45034,1802,7948557,176.5012435049074
21,75041,3002,26771756,356.7617169280793
22,57695,2308,15049606,260.84766444232605
23,56401,2257,7661605,135.8416517437634
24,141114,5645,57190784,405.2807233867653
25,197156,7887,77966256,395.4546450526487
26,142135,5686,58312313,410.26005558096176
27,4038,162,417751,103.45492818226845
28,154373,6175,60452764,391.6019252071282
29,110458,4419,45852561,415.113083706024
30,78983,3160,19277568,244.07237000367167
31,192737,7710,8008385,41.55084389608638
32,66905,2677,19953704,298.23935430834763
33,236745,9470,68595023,289.7422247565946
34,223322,8933,299203616,1339.785672705779
35,58578,2344,23087929,394.13993308067876
36,69452,2779,16516458,237.8111213499971
37,31782,1272,124556,3.9190736895097853
39,56357,2255,1422538,25.241549408236775
40,34110,1365,7562267,221.70234535326884
41,33952,1359,8292347,244.23736451460886
42,190732,7630,5194067,27.232278799572175
43,8939,358,883833,98.87381138829846
44,15936,638,1850140,116.09814257028113
45,18959,759,8875499,468.14172688432933
46,100101,4005,72361372,722.883607556368
47,4354,175,36305,8.338309600367479
48,47627,1906,929988,19.5264870766582
49,56805,2273,17394875,306.22084323563064
50,19879,796,4409294,221.80663011217868
51,232815,9313,134580335,578.0569765693791
54,190454,7619,213614842,1121.6085879004904
