Table Number,Players,Pages,Total KC,Average KC/Player
11,66990,2680,29082268,434.12849679056575
12,62765,2511,52167411,831.1544810005577
13,298297,11932,78766082,264.05254494681475
14,26401,1057,829904,31.434566872466952
15,41126,1646,9765559,237.45462724310656
16,96042,3842,71326870,742.6633139668062
17,79764,3191,29536346,370.29670026578407
18,6626,266,618263,93.30863265922125
19,26189,1048,4357134,166.37267555080376
20,40471,1619,7194664,177.7733191668108
21,66293,2652,23988320,361.8529859864541
22,51014,2041,13198866,258.73027012192733
23,49874,1995,6768003,135.70202911336568
24,126990,5080,51956310,409.1370186628868
25,176717,7069,70890796,401.1543654543705
26,127806,5113,52981959,414.5498568142341
27,2742,110,291504,106.31072210065645
28,137407,5497,53230881,387.39570036461026
29,95334,3814,39309895,412.338672456836
30,65536,2622,15759582,240.47213745117188
31,161152,6447,6379705,39.58812177323272
32,59066,2363,17757218,300.63349473470356
33,212516,8501,61276788,288.3396450149636
34,199516,7981,265159811,1329.0152719581388
35,51010,2041,20107949,394.19621642815133
36,60636,2426,14293905,235.7329804076786
37,24447,978,90493,3.7015993782468195
39,48278,1932,1211326,25.090641700153277
40,25163,1007,5322284,211.51229980526963
41,30695,1228,7473650,243.4810229679101
42,168160,6727,4547325,27.04165675547098
43,6249,250,631382,101.03728596575452
44,8268,331,873813,105.68613933236574
45,15128,606,7044453,465.65659703860393
46,88411,3537,63770071,721.29114024273
47,3386,136,28363,8.376550502067335
48,41856,1675,820735,19.60853879969419
49,51791,2072,15583515,300.8923365063428
50,17382,696,3851961,221.60631687953054
51,200369,8015,109366198,545.8239448218038
54,169241,6770,191081482,1129.049592001938
